cluster_kmeans,active_rate,avg_gap_hours,longest_zero_streak_hours,mean_hourly_load,median_hourly_load,p95_load,load_factor,cv,rolling_std_mean_ratio,ramp_volatility,acf_1,acf_24,acf_168,pacf_1,pacf_24,stl_daily_strength,stl_weekly_strength,dominant_period_hours,spectral_entropy,adf_pvalue,kpss_pvalue,adi,cv2,night_ratio,weekend_ratio,trend_slope,net_growth,year_slot_1_ratio,year_slot_2_ratio,year_slot_3_ratio,quarter_1_ratio,quarter_2_ratio,quarter_3_ratio,quarter_4_ratio,month_01_ratio,month_02_ratio,month_03_ratio,month_04_ratio,month_05_ratio,month_06_ratio,month_07_ratio,month_08_ratio,month_09_ratio,month_10_ratio,month_11_ratio,month_12_ratio,dayofweek_0_ratio,dayofweek_1_ratio,dayofweek_2_ratio,dayofweek_3_ratio,dayofweek_4_ratio,dayofweek_5_ratio,dayofweek_6_ratio,hour_00_ratio,hour_01_ratio,hour_02_ratio,hour_03_ratio,hour_04_ratio,hour_05_ratio,hour_06_ratio,hour_07_ratio,hour_08_ratio,hour_09_ratio,hour_10_ratio,hour_11_ratio,hour_12_ratio,hour_13_ratio,hour_14_ratio,hour_15_ratio,hour_16_ratio,hour_17_ratio,hour_18_ratio,hour_19_ratio,hour_20_ratio,hour_21_ratio,hour_22_ratio,hour_23_ratio,active_hours,coverage_ratio,internal_missing_rate_before_fill,reliability_flag_code
0,1.8250839538658248e-05,-1.8254837422571057e-05,0.0,-11.449819388086112,2.9032144578254844,-33.136527747927204,0.0529583929793257,-0.17388623437511808,0.08630899082327709,1.0646969988147639,-0.049546440514429024,-0.11408088800443583,-0.039406756112598806,-0.04946530387886949,0.0017601864795368967,0.10193162504171543,-0.1147089814276187,-1466.1467889908258,0.08974088397927987,2.940889072556472e-07,0.016126197977208538,-1.8254837422571057e-05,-0.24876253744357524,0.06156064072149414,-0.12060847505487937,0.00048144844554028803,7.683985214003712,-0.03845430028084662,0.010955813769208955,0.028397340830645712,-0.08052810547473899,-0.08613784190881624,0.18323886058221994,-0.05013156963217291,-0.050016388258885436,-0.05478326526068533,-0.06299212305247504,-0.04433484434400714,-0.0750713866471846,-0.06209855754235272,0.42088028702961533,0.23540877768475976,0.03993364598388405,-0.05756044083464629,0.007840930763840515,-0.05937200665981479,-0.007756721234898789,0.02772691929141513,0.06180165768288859,0.05592687770290716,0.024471948933141086,-0.08506710305248144,-0.13267822173267085,0.005479315239518723,0.0004493432667055375,-0.02445021064505326,0.057385114458080255,0.052795107473057934,0.049245902381301,0.04188718104885514,0.03993288253492566,0.14216786108750246,0.034277904122998804,-0.03630359201685818,-0.05158105396060986,-0.016759279639882996,0.10799644283498666,0.10374628993288526,0.052503853178647475,0.04397733166137596,0.003692180913450138,-0.03600825987635192,-0.12631820926384252,-0.10806598546914015,-0.04601062093806885,-0.028693320494325603,-0.0034360928963361737,0.0,0.0,0.0,0.0
1,-7.620958672205358e-05,7.65659212160763e-05,0.31081081081081074,308.7401342188839,315.68385680469055,510.56079452629785,-0.009752865991556448,0.01453720386892321,0.0129036658836848,41.834932933228465,-0.0045740715384392505,-0.012499932402314506,-0.01588427953104099,-0.004584651582524857,-0.008644807791393483,-0.028321886427907783,-0.023331151802229777,860.0540540540541,0.003778447423719078,0.0023201271146874,0.0024291286444922434,7.65659212160763e-05,0.014040055473313828,0.0009251304392833282,-0.0016066671355975393,0.00048821790816986943,-24.00745763448424,0.0008839262709516849,0.003964571242586867,-0.010208754631697348,-0.01252451430438195,-0.001759689466865444,0.018174741237955483,0.006975416056175687,-0.005886959368986755,-0.01769800701646851,-0.005881313215824635,-0.0014401130681617191,-0.0023767797996361306,-0.001927514158485244,0.0218435604702496,0.013592746953862811,-0.002839430899967854,0.004238670727950256,0.012061887342701638,0.004693563960794345,0.0013231388979225711,0.0018496883748269077,0.0018034419533334844,0.00283810426235509,0.003567329515654416,-0.004504515049794877,-0.007105999439407262,0.007931409715351445,0.005764415190950722,0.007821080864027108,0.01426016086867321,0.009829645944222087,-0.005122688021520383,0.0060614121669444465,0.004930393408514311,0.020710838018790922,0.02480244109655394,0.022257203745689402,0.013068323509050073,-0.0033988942662512844,0.006154734199127265,0.009207552614647674,0.0022139243888489313,0.005489987183681655,0.004509735945337323,-0.0022436824142764156,0.005145042803730737,0.01797153570672605,0.00515017997422218,-0.014611249237590052,-0.018313331807578326,0.0,0.0,0.0,0.0
2,-6.658176646501257e-05,6.660513260459133e-05,0.5802469135802469,1763.5953737162279,1863.752630835663,2737.2258116211115,0.0005841251968498051,0.004470386224814937,0.004286392881305223,139.80020880856438,-0.0010398263746377312,-0.005870315366717449,-0.007659187203631346,-0.0010464445686634294,0.005888823352493744,-0.007472266255352689,-0.006920988433699926,281.4074074074074,0.00636939130356412,0.002652061862711612,0.00025536559613081357,6.660513260459133e-05,0.006752061585308652,-0.001278039410266052,-0.004338178160540718,-0.0033864804899632565,-56.00227373305441,-0.005825296754397469,-0.0027469049288568748,0.004887844280467291,0.0024661491770209265,0.00039647170195289405,0.00451116284532449,-6.779548511337552e-05,0.007615861767853671,0.007466137267135076,0.002367593527789258,-0.0009280609586516109,0.0007176070025243231,0.0003068823618972427,0.011084595265893338,0.009056259557328694,0.00013316793278561612,-0.00815716807755007,-0.0015210799683592624,0.000606280689401606,0.001124971135468389,0.0014917237720319942,0.002044443365385562,0.0015555370109514577,0.0023747668061806504,-0.0013203306885001265,-0.00482147460149962,0.011671713995195954,-0.0014467561591432476,-0.002949164287126105,0.002556239911598923,-0.00036212040655281275,0.0032445245203355233,-0.0008967986597399058,-0.025803612152087374,-0.010960930697950788,-0.006167711217311966,-0.00014942051531297018,0.003377106788623463,0.003567743092235398,0.004124209380728772,0.005757239335677733,0.006211662561913078,0.0044672441101547555,0.0034904317068575885,0.006536392428742266,0.0045804753835729795,0.000901299892819063,-0.006961836512787034,-0.008863216833245646,0.010141634987178016,0.0,0.0,0.0,0.0
3,-0.0001306995605668826,0.00013083180455475407,0.6774193548387097,1868.883040617073,1745.949055235853,3780.4424206052054,0.009627439792570747,0.029554253765964877,0.005490165834466931,229.709240800025,0.000764124259043264,-0.003721471971392387,-0.01276308733262288,0.0007783396519096542,0.008088278189764375,-0.009473134022119356,-0.015586962225945689,0.0,0.009978485608837961,0.004171376275641938,0.0,0.00013083180455475407,0.052143738419812236,0.00808259302504627,0.00207249327763126,-0.01241041603855961,-259.35397626640827,0.007940424041524397,-0.003528607118871818,-0.004449979860467468,0.007703500769639993,-0.008525552819403481,0.018004008872567034,-0.006364676131824787,-0.013669460454993398,-0.0031290016236552587,0.002510691027899692,-0.017899474962713824,-0.0007824683760275786,0.004968110494496081,0.02552118297240935,-0.0017416807403449752,0.01784326443186801,0.0036969105898623233,-0.013332316659937171,-0.023458711078463756,0.0011520877912268856,-0.0012839871453379503,-0.0008209772652232328,6.642710231252735e-05,-8.402966749332386e-05,-0.0012934970794138412,0.012252737564058647,0.011201033267282057,0.026252750209625475,0.01312098629156283,0.006383807175189771,-0.000699642330350192,6.0292656761939956e-05,-0.0014302459330765016,-0.008080735320400878,0.024322470671526597,0.020137402275971494,-0.018781401510204354,-0.008340473154629269,0.03341761331782789,0.03551261795482308,0.03474391781804442,0.021310746546628012,0.001064059985403265,-0.0060864803432267855,0.0042531065564264114,0.011411274143050765,0.016782484163137212,-0.018960617569921734,-0.0012991807051685456,0.007252124829711826,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-6.387793838513733e-05,6.391593131271911e-05,0.33333333333333326,1998.9697257492194,2016.6988780207407,2447.328245794861,-0.001543595028351552,0.015235880033833804,0.016357731099767472,82.1614742078402,-0.006841778063119475,-0.03694169151028637,-0.02505669123509624,-0.006852500317843235,-0.0015051377041468417,-0.07176611883462447,-0.12647746464697407,-2014.024464831804,0.004008016456111485,0.007493745493411987,0.0,6.391593131271911e-05,0.01733789042776722,-0.008362154777953434,-0.008428068060971183,0.007769784031914579,6.366041688246966,0.008380882789891908,-0.006066892432930571,0.029353831619811865,-0.007129894696306427,-0.0076412464133835956,0.012038774472781011,-0.007419983049388179,-0.015695442070836396,-0.0015384339027298966,0.0025743505270677813,-0.018106954987020196,-0.022707895978207993,-0.01014374863518075,0.017276368563503564,0.019822483751028575,0.018071968189266485,0.001397730848376133,-0.010102595701122263,-0.04403171638034831,-0.008351260390684567,-0.0015605579671109648,-0.00045230993147971077,0.005231829390772047,0.01373976474971661,0.0064644735458452285,-0.027475636190715358,-0.003488003133844786,-0.006451072798701163,-0.022522129820299663,-0.027117076347772495,-0.01152111784011467,-0.011134944960090376,-0.03604029791220453,-0.048138904566757734,-0.019103044442947192,0.0013078898804990136,-0.006309295277582505,-0.004921660255857496,0.0088328101883004,0.01598833389647436,0.018143549214327148,0.01638529959688939,0.01319458451594513,0.007679563416788993,0.001028521906976998,0.043020380676119796,0.04113409261770684,0.030668361151194867,0.01169180541045911,0.013934823973859478,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
